526991795,chit0secandy,b'RT @Bear_hunt: https://t.co/xRXV62pHN5 you can use it with the #other #angry #birds #stuff #around the #house. this is #especially good #be\xe2\x80\xa6'
1365498522,DGraham326,b'@TreeBurns25 @AnthonyJSchulz @NBCConnecticut I don\xe2\x80\x99t want to be tagged in any fb losing money things i\xe2\x80\x99m #angry and confusion'
64991381,radioSUZY1,b'RT @Bonoboville: The #TrumpCircus \xf0\x9f\xa4\xa1 got you down? \xf0\x9f\x98\xad\n#Angry \xf0\x9f\x98\xa1 about the #TrumpPutinSummit? \xf0\x9f\x87\xb7\xf0\x9f\x87\xba \n#Appalled \xf0\x9f\x98\xb2 by #TrumpTreason? \xf0\x9f\x99\x8a\nNothing kills\xe2\x80\xa6'
309970310,marykane3,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
3169371385,larunner2001,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
333409761,NeeceePA,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
919780560,Yogabycandy,b'#Angry thoughts put ppl in boxes.\n\nWe often label ppl when we get angry. #Labels become boxes that block our flexib\xe2\x80\xa6 https://t.co/HzhDYi1fiA'
218996585,drmtesta,b'@ABCPolitics @ajdukakis This guy is completely out there. . .watch his last presser. #Angry'
23721351,MRSROBINSON8116,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
120923865,NeilJustin,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
1575301334,abronxchick,b'@Robin_Volpi \n\n#Angry #Nasty #Combative #Rude #Argumentative #Lying #SarahSanders JUST GOT RIPPED ANOTHER AZZHOLE!\xe2\x80\xa6 https://t.co/a3I4WgLvQr'
232652953,Taylorstime,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
989828160677171201,JohnSam57668631,b'RT @wolfedir: RQ from day before yesterday for someone on FB\n\n#angry #lynx #anthro https://t.co/wbh8JYTm12'
273670058,timmckinnel,b'RT @nzdrug: We are lost for words: why is there such an indifferent response to synthetic cannabinoid-related deaths?? #angry #sad https://\xe2\x80\xa6'
1017065708071550978,wolfedir,b'RQ from day before yesterday for someone on FB\n\n#angry #lynx #anthro https://t.co/wbh8JYTm12'
3334214834,SharonBell_NZ,b'RT @nzdrug: We are lost for words: why is there such an indifferent response to synthetic cannabinoid-related deaths?? #angry #sad https://\xe2\x80\xa6'
36256235,nzdrug,b'We are lost for words: why is there such an indifferent response to synthetic cannabinoid-related deaths?? #angry\xe2\x80\xa6 https://t.co/10m0BvLM5N'
1006804527557771264,NST14177219,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
2983257539,eyeveaux,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
1022289162240704513,Depression0032,b'Having to restart my HP PC laptop... Because the mouse keeps freezing (unrelated) but can anyone help me ? Its stil\xe2\x80\xa6 https://t.co/JpoKAZtLAx'
710613217,kimmi_frost,"b""@LIVEColourUK Thanks for the worst hair dye I've ever seen! Wanted to dye my boyfriend's hair and it went so patchy\xe2\x80\xa6 https://t.co/bPBbJm2PX0"""
1004937866370314240,LawJennell,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
2598519440,RosalynMoMor,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
481099002,jossiemiliza,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
796216791232036864,lalapcb,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
703352560703254528,SnapCarCash,b'For every minute you are #angry you #lose sixty seconds of #happiness.\nVisit:https://t.co/aS2azRpDp6 https://t.co/2K4eiNwa9p'
2513249673,GoddessOfPink_,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
701214498925969412,05Tazzy,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
307681395,NicoleChongtiu,b'Is It #Good to #Sleep When #Angry? https://t.co/ZSfQsYkTmu #Good #Sleep #Angry'
422029100,1EscoDa_Diciple,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
2982379397,girlgrow,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
1003717518480019456,AthembeNkohla,b'RT @rayseondabeat: [FREE] Lil Pump x Smokepurpp Type Beat\nYouTube link in bio\nGO GRAB YOUR FREE MP3 NOW \xf0\x9f\x94\xa5\n\n#lilpump #lilpurpp #smokepurpp #\xe2\x80\xa6'
1003717518480019456,AthembeNkohla,b'RT @rayseondabeat: [FREE] Comethazine Type Beat\nLink in bio\nGo grab your FREE MP3\n\n#lilpump #lilpurpp #smokepurpp #hard #bass #xxxtentacion\xe2\x80\xa6'
2998844743,Samsarasays,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
475614488,Blackswan725,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
893027893,LadyNightEyes,"b'Once again @AmazonUK  you have excelled yourselves yet another order gone... and customer service rubbish, we will\xe2\x80\xa6 https://t.co/ZsZ51CMUdT'"
499124123,pkmom93,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
1162246946,beverlyNOTMYPRE,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
69142076,suivezmoishelby,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
981870635881287680,MpumeArends,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
77375633,NbdyBetter,"b'RT @RealJudgeLynn: Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets the\xe2\x80\xa6'"
757228688660246529,SonnyGioia,b'RT @ArleneBHeed: @gr8tjude Beyond ridiculous.  #CoryBooker #disrespects #POTUSTrump which makes me #angry.'
437630450,RealJudgeLynn,"b'Don\xe2\x80\x99t get #angry when annoyed will do\xe2\x80\xa6 Don\xe2\x80\x99t get nasty when unpersuaded will suffice. Remember, the person who gets\xe2\x80\xa6 https://t.co/uMjkRJ4Qw8'"
1022391566772695041,MilanKneza,"b""and JUST so you know... THERE ARE NO ROBBERS IN MY CITY, sO i DoN't EvEn SeE tHe PoInT oF hAvInG a PeT gUaRd! there\xe2\x80\xa6 https://t.co/QhwNQLIXkE"""
1021911243647406080,WestinMontgome1,b'how important human interactions are! Face to Face will always beat out social media in my eyes.  I believe in real\xe2\x80\xa6 https://t.co/McOYtzDYid'
1052673312,ItsjustmePete,b'Kids do yourselves a favour don\xe2\x80\x99t buy a house #goddamnsinkhole #grrrrrrr #angry'
56781100,dansedelamort,b'Mood \xf0\x9f\x98\xa0: #mood #moody #upset #angry #emotrash #emogirl #emo #emohair #emos #emomilf #scenegirl #scenehair #scene\xe2\x80\xa6 https://t.co/kxiT0SwKbu'
221659790,jonhunta,b'RT @nadiaweder: @SW_Railway once again my train has been affected by strike action and yet again the bus replacement service was unreliable\xe2\x80\xa6'
107167067,nadiaweder,b'@SW_Railway once again my train has been affected by strike action and yet again the bus replacement service was un\xe2\x80\xa6 https://t.co/nUNz2SR8I1'
33593942,MichiHIGHLIGHTS,b'RT @RaqiyahMays: Peace and love to @ChikesiaClemons found guilty tonight after being assaulted by the police at Waffle House. This is OUTRA\xe2\x80\xa6'
62346240,WarrenDavison,"b'@coolideas_ZA, what\xe2\x80\x99s the deal with the internet in the #Bryanston area???? Super #slow and making very #angry \xf0\x9f\x98\xa4\xf0\x9f\x98\x92'"
27484196,NazPrice,"b'@Se_Railway  shoddy customer service, just decide to change route as soon as doors close, 3.5hrs to get from elepha\xe2\x80\xa6 https://t.co/SFlAEbFYw3'"
1013462783860662273,jlefevere65,b'@foe_us #Isaiah 22:8 the #Trees ghuard us... this makes me #Angry'
1611295584,Lsbrry66Berry,"b""I'll never understand people who post pictures of thier precious gorgeous children on social media.  And then conti\xe2\x80\xa6 https://t.co/eJ9vL04s8E"""
4257457637,briiianbear,"b'@MichaelAvenatti @TuckerCarlson Hey Tucker, I think you need to add #Angry to #CreepPornLawyer'"
989585376711991296,saltiestboy,b'roblox servers are down.... nice!\n#Roblox #angry'
166342684,Big_Bro_News,"b'Because when He does NOT get #attention, he gets #angry :)'"
234578556,Margee11,b'RT @Margee11: @Ocasio2018 IS A PRODUCT OF THE DEMENTED SOCIALIST/PROGRESSIVE/COMMUNIST PARTY...\n#Shallow #Uninformed #Angry #Hate https://t\xe2\x80\xa6'
234578556,Margee11,b'@Ocasio2018 IS A PRODUCT OF THE DEMENTED SOCIALIST/PROGRESSIVE/COMMUNIST PARTY...\n#Shallow #Uninformed #Angry #Hate https://t.co/p6GicmhysZ'
94497706,cgphotographers,"b""#weekendphotomoments The mood of the #model #subject is the reflection of the #photographer. Don't even bother bein\xe2\x80\xa6 https://t.co/72AVPjvheV"""
1681834584,kebino11_,b'The Bearded Warrior\n\n#originalcharacter #characterdesign #art #artstagram #artwork #illustration #digitalart\xe2\x80\xa6 https://t.co/LPanLB1xNd'
107387041,handofdoomradio,"b'#NowPlaying #Angry Gods - Marshfield on https://t.co/JMV45JaX7d - 24/7 riffs. Tune Low, Play Slow'"
32911860,AndyGavin,"b""@NHSEngland hi, is this what it's come to, you sending letters about my child without the correct postage which I t\xe2\x80\xa6 https://t.co/lWe4DHoQTn"""
314150447,Dobberzzr,b'@FlySWISS 1 hour late going out to Zurich from Birmingham Monday morning. Big thanks for that. \n2 hours late on the\xe2\x80\xa6 https://t.co/QcQi2JSq00'
16173024,tip2tail,"b'Hi @EONhelp I called &amp; made a complaint about a serious data protection breach  on Saturday, was told you were too\xe2\x80\xa6 https://t.co/OED9pyDSAi'"
983721165243011073,theclimb24,b'RT @none_the_less00: I hate this feeling... #Emptiness #MoodSwings #Angry #HoldingOn'
